,Country Code,Country,Continent,Population,Infant mortality,Life Expectancy
118,GEO,Georgia,Europe,3719300,18.59,76.2
119,DEU,Germany,Europe,82667685,4.16,80.7
120,GIB,Gibraltar,Europe,34408,5.13,79.4
121,GRC,Greece,Europe,10746740,5.53,80.5
122,HUN,Hungary,Europe,9817958,8.57,75.9
123,ISL,Iceland,Europe,334252,3.31,83.0
124,IRL,Ireland,Europe,4773095,5.39,80.8
125,IMN,Isle of Man,Europe,83737,5.93,81.2
126,ITA,Italy,Europe,60600590,5.94,82.2
127,XKX,Kosovo,Europe,1816200,11.4,71.6
128,LVA,Latvia,Europe,1960424,9.55,74.5
129,LIE,Liechtenstein,Europe,37666,4.7,81.9
130,LTU,Lithuania,Europe,2872298,6.89,74.9
131,LUX,Luxembourg,Europe,582972,4.81,82.3
132,MKD,Macedonia,Europe,2081206,10.09,76.2
133,MLT,Malta,Europe,436947,3.89,80.4
134,MDA,Moldova,Europe,3552000,40.42,70.7
135,MCO,Monaco,Europe,38499,5.43,89.5
136,NLD,Netherlands,Europe,17018408,5.04,81.3
137,NOR,Norway,Europe,5232929,3.7,81.8
138,POL,Poland,Europe,37948016,8.51,77.6
139,PRT,Portugal,Europe,10324611,5.05,79.3
140,ROU,Romania,Europe,19705301,26.43,75.1
141,SMR,San Marino,Europe,33203,5.73,83.3
142,SRB,Serbia,Europe,7057412,12.89,75.5
143,SVK,Slovakia,Europe,5428704,7.41,77.1
144,SVN,Slovenia,Europe,2064845,4.45,78.2
145,ESP,Spain,Europe,46443959,4.42,81.7
146,SWE,Sweden,Europe,9903122,2.77,82.1
147,CHE,Switzerland,Europe,8372098,4.39,82.6
148,UKR,Ukraine,Europe,45004645,20.34,71.8
149,GBR,United Kingdom,Europe,65637239,5.16,80.7
150,ATG,Antigua and Barbuda,America,100963,19.46,76.5
151,BHS,The Bahamas,America,391232,25.21,72.4
152,BRB,Barbados,America,284996,12.5,75.3
153,BLZ,Belize,America,366954,25.69,68.7
154,BMU,Bermuda,America,65331,8.53,81.3
155,VGB,British Virgin Islands,America,30661,18.05,78.6
156,CAN,Canada,America,36286425,4.75,81.9
157,CYM,Cayman Islands,America,60765,8.19,81.2
158,CRI,Costa Rica,America,4857274,9.95,78.6
159,CUB,Cuba,America,11475982,6.33,78.7
160,CUW,Curacao,America,159999,7.5,77.82
161,DMA,Dominica,America,73543,14.15,77.0
162,DOM,Dominican Republic,America,10648791,32.38,78.1
163,SLV,El Salvador,America,6344722,25.1,74.7
164,GRL,Greenland,America,56186,15.82,72.4
165,GRD,Grenada,America,107317,14.62,74.3
166,GUM,Guam,Oceania,162896,6.94,79.58
167,GTM,Guatemala,America,16582469,35.93,72.3
168,HTI,Haiti,America,10847334,73.45,63.8
169,HND,Honduras,America,9112867,29.32,71.1
170,JAM,Jamaica,America,2881355,12.36,73.6
171,MEX,Mexico,America,127540423,20.91,75.9
172,MNE,Montserrat,Europe,622781,7.35,74.4
173,NIC,Nicaragua,America,6149928,29.11,73.2
174,PAN,Panama,America,4034119,20.47,78.6
175,PRI,Puerto Rico,America,3411307,8.24,79.4
176,SXM,Sint Maarten,America,40005,8.1,78.1
177,KNA,Saint Kitts and Nevis,America,54821,14.49,75.7
178,LCA,Saint Lucia,America,178015,13.53,77.8
179,MAF,Saint Pierre and Miquelon,America,31949,7.54,80.5
180,VCT,Saint Vincent and the Grenadines,America,109643,14.78,75.3
181,TTO,Trinidad and Tobago,America,1364962,24.31,72.9
182,TCA,Turks and Caicos Islands,America,34900,15.67,79.8
183,USA,United States,America,323127513,6.5,79.8
184,VIR,Virgin Islands,America,102951,8.03,80.0
185,ASM,American Samoa,Oceania,55599,9.27,75.4
186,AUS,Australia,Oceania,24127159,4.69,82.2
187,FJI,Fiji,Oceania,898760,12.62,72.7
188,PYF,French Polynesia,Oceania,280208,8.44,77.2
189,KIR,Kiribati,Oceania,114395,48.52,66.2
190,MHL,Marshall Islands,Oceania,53066,29.45,73.1
191,FSM,Micronesia,Oceania,104937,30.21,72.9
192,NRU,Nauru,Oceania,13049,9.95,67.1
193,NCL,New Caledonia,Oceania,278000,7.72,77.7
194,NZL,New Zealand,Oceania,4692700,5.85,81.2
195,MNP,Northern Mariana Islands,Oceania,55023,7.11,78.0
196,PLW,Palau,Oceania,21503,14.84,73.1
197,PNG,Papua New Guinea,Oceania,8084991,51.45,67.2
198,WSM,Samoa,Oceania,195125,27.71,73.7
199,SLB,Solomon Islands,Oceania,599419,21.29,75.3
200,TON,Tonga,Oceania,107122,12.62,76.2
201,TUV,Tuvalu,Oceania,11097,20.03,66.5
202,VUT,Vanuatu,Oceania,270402,55.16,73.4
203,ARG,Argentina,America,43847430,15.18,77.1
204,ABW,Aruba,America,104822,5.89,76.8
205,BOL,Bolivia,America,10887882,53.11,69.2
206,BRA,Brazil,America,207652865,29.61,73.8
207,CHL,Chile,America,17909754,8.8,78.8
208,COL,Colombia,America,48653419,20.97,75.7
209,ECU,Ecuador,America,16385068,23.66,76.8
210,GUY,Guyana,America,773303,33.26,68.4
211,PRY,Paraguay,America,6725308,25.63,77.2
212,PER,Peru,America,31773839,31.94,73.7
213,SUR,Suriname,America,558368,23.57,72.2
214,URY,Uruguay,America,3444006,11.95,77.2
215,VEN,Venezuela,America,31568179,22.2,75.8
