Red Universitaria de Observatorios Atmosfericos (RUOA)
Atmospheric Observatory Juriquilla (jqro), Queretaro
Lat 20.703 N, Lon 100.4473 W, Alt 1945 masl
Time UTC-6h
Air Quality data
Flags: OK = Reliable data, BDL = Below Detection Limit, OR = Out of Range, OS = Out of Service 
 
Time,O3,O3_flag,SO2,SO2_flag,NO2,NO2_flag,NO,NO_flag,CO,CO_flag,PM10,PM10_flag,PM2.5,PM2.5_flag
yyyy-mm-dd HH:MM:SS,ppb,flag,ppb,flag,ppb,flag,ppb,flag,ppm,flag,ug/m^3,flag,ug/m^3,flag
2025-03-01 00:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,79.74,OK,38.15,OK
2025-03-01 01:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,61.61,OK,32.88,OK
2025-03-01 02:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,46.7,OK,29.31,OK
2025-03-01 03:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,38.44,OK,33.54,OK
2025-03-01 04:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,49.95,OK,32.33,OK
2025-03-01 05:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,37.51,OK,25.13,OK
2025-03-01 06:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,47.66,OK,36.16,OK
2025-03-01 07:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,14.57,OK,28.67,OK
2025-03-01 08:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,27.01,OK,29.23,OK
2025-03-01 09:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,19.57,OK,14.91,OK
2025-03-01 10:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,44.94,OK,34.45,OK
2025-03-01 11:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,-37.33,OR,19.05,OK
2025-03-01 12:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,2.02,BDL,1.12,BDL
2025-03-01 13:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,29.68,OK,4.04,OK
2025-03-01 14:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,33.21,OK,-4.37,OR
2025-03-01 15:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,11.87,OK,-7.13,OR
2025-03-01 16:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,9.43,OK,-6.89,OR
2025-03-01 17:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,25.47,OK,23.82,OK
2025-03-01 18:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,41.49,OK,23.35,OK
2025-03-01 19:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,30.35,OK,38.23,OK
2025-03-01 20:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,55.9,OK,42.67,OK
2025-03-01 21:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,47.19,OK,36.42,OK
2025-03-01 22:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,39.48,OK,33.75,OK
2025-03-01 23:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,62.1,OK,37.41,OK
2025-03-02 00:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,38.24,OK,35.88,OK
2025-03-02 01:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,42.97,OK,22.55,OK
2025-03-02 02:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,26.77,OK,13.58,OK
2025-03-02 03:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,27.35,OK,19.6,OK
2025-03-02 04:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,31.08,OK,16.86,OK
2025-03-02 05:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,21.22,OK,15.89,OK
2025-03-02 06:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,33.8,OK,23.56,OK
2025-03-02 07:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,50.7,OK,27.02,OK
2025-03-02 08:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,54.86,OK,37.55,OK
2025-03-02 09:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,19.6,OK,15.44,OK
2025-03-02 10:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,-26.49,OR,15.72,OK
2025-03-02 11:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,3.91,BDL,19.55,OK
2025-03-02 12:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,16.81,OK,6.95,OK
2025-03-02 13:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,-1.22,BDL,-6.02,OR
2025-03-02 14:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,7.05,OK,-9.77,OR
2025-03-02 15:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,3.7,BDL,-9.59,OR
2025-03-02 16:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,26.53,OK,-6.89,OR
2025-03-02 17:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,19.42,OK,5.63,OK
2025-03-02 18:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,17.6,OK,18.76,OK
2025-03-02 19:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,67.06,OK,30.1,OK
2025-03-02 20:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,48.29,OK,31.08,OK
2025-03-02 21:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,34.3,OK,37.08,OK
2025-03-02 22:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,31.28,OK,26.11,OK
2025-03-02 23:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,-49.27,OR,27.37,OK
2025-03-03 00:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,35.19,OK,15.97,OK
