Red Universitaria de Observatorios Atmosfericos (RUOA)
Atmospheric Observatory Juriquilla (jqro), Queretaro
Lat 20.703 N, Lon 100.4473 W, Alt 1945 masl
Time UTC-6h
Air Quality data
Flags: OK = Reliable data, BDL = Below Detection Limit, OR = Out of Range, OS = Out of Service 
 
Time,O3,O3_flag,SO2,SO2_flag,NO2,NO2_flag,NO,NO_flag,CO,CO_flag,PM10,PM10_flag,PM2.5,PM2.5_flag
yyyy-mm-dd HH:MM:SS,ppb,flag,ppb,flag,ppb,flag,ppb,flag,ppm,flag,ug/m^3,flag,ug/m^3,flag
2025-01-01 00:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,24.02,OK,6.45,OK
2025-01-01 01:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,8.14,OK,15.45,OK
2025-01-01 02:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,4.74,OK,10.11,OK
2025-01-01 03:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,17.02,OK,11.99,OK
2025-01-01 04:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,19.32,OK,13.37,OK
2025-01-01 05:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,38.07,OK,46.68,OK
2025-01-01 06:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,50.55,OK,49.31,OK
2025-01-01 07:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,29.24,OK,33.16,OK
2025-01-01 08:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,32.41,OK,31.52,OK
2025-01-01 09:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,38.09,OK,23.24,OK
2025-01-01 10:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,31.11,OK,1.27,BDL
2025-01-01 11:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,16.82,OK,0.89,BDL
2025-01-01 12:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,3.87,BDL,2.1,BDL
2025-01-01 13:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,3.91,BDL,-8.02,OR
2025-01-01 14:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,10.78,OK,3.31,BDL
2025-01-01 15:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,10.28,OK,-2.76,BDL
2025-01-01 16:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,13.26,OK,13.22,OK
2025-01-01 17:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,10.51,OK,24.76,OK
2025-01-01 18:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,31.18,OK,29.3,OK
2025-01-01 19:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,42.48,OK,42.59,OK
2025-01-01 20:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,23.83,OK,47.32,OK
2025-01-01 21:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,47.29,OK,37.58,OK
2025-01-01 22:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,38.33,OK,38.22,OK
2025-01-01 23:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,38.58,OK,32.34,OK
2025-01-02 00:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,33.33,OK,25.13,OK
2025-01-02 01:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,26.21,OK,25.88,OK
2025-01-02 02:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,26.4,OK,28.69,OK
2025-01-02 03:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,16.52,OK,29.48,OK
2025-01-02 04:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,26.81,OK,25.88,OK
2025-01-02 05:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,22.49,OK,27.78,OK
2025-01-02 06:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,31.89,OK,33.51,OK
2025-01-02 07:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,36.64,OK,35.51,OK
2025-01-02 08:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,40.45,OK,28.44,OK
2025-01-02 09:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,42.78,OK,26.79,OK
2025-01-02 10:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,32.59,OK,8.24,OK
2025-01-02 11:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,22.44,OK,12.3,OK
2025-01-02 12:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,31.07,OK,9.31,OK
2025-01-02 13:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,13.25,OK,3.69,BDL
2025-01-02 14:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,5.01,OK,-0.31,BDL
2025-01-02 15:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,17.82,OK,-4.73,OR
2025-01-02 16:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,16.64,OK,1.91,BDL
2025-01-02 17:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,23.98,OK,19.28,OK
2025-01-02 18:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,40.71,OK,39.35,OK
2025-01-02 19:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,48.53,OK,38.84,OK
2025-01-02 20:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,61.58,OK,50.16,OK
2025-01-02 21:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,47.64,OK,45.03,OK
2025-01-02 22:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,49.96,OK,32.5,OK
2025-01-02 23:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,31.88,OK,34.42,OK
2025-01-03 00:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,11.5,OK,44.88,OK
2025-01-03 01:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,27.17,OK,31.07,OK
2025-01-03 02:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,13.98,OK,22.69,OK
2025-01-03 03:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,4.54,OK,18.67,OK
2025-01-03 04:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,16.97,OK,23.22,OK
2025-01-03 05:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,18.11,OK,23.08,OK
2025-01-03 06:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,27.41,OK,28.72,OK
2025-01-03 07:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,21.71,OK,23.74,OK
2025-01-03 08:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,26.67,OK,26.68,OK
2025-01-03 09:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,37.24,OK,18.38,OK
