No ,Localidad,Tipo,Clase Temp,T,pH,Eh,Na+,K+,Ca2+ ,HCO3 lab,SO42- ,Cl- ,SiO2
,,,,°C,,mV,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L
79,Lequeitio ,Pozo,Temperatura media,40.9,7.69,225,66,2.8,19.1,214.72,22,12.34,70.19
80,Lequeitio ,Pozo,Temperatura baja,28.7,8.24,199,79,7.6,27.6,203.74,67,14.78,95.02
81,Lequeitio ,Pozo,Temperatura media,41.1,7.37,214,68,3.1,20,204.35,24,12.41,72.76
82,Lequeitio ,Pozo,Temperatura baja,30.8,7.67,252,85,9.8,33.1,215.33,72,32.05,102.08
83,Lequeitio ,Pozo,Temperatura media,40.7,7.86,202,62,3.4,16.4,203.74,14,10.64,71.48
84,Lequeitio ,Pozo,Temperatura baja,34.9,7.7,228,68,3.9,19.2,202.52,22,13.54,78.11
85,Lequeitio,Pozo,Temperatura baja,25.3,6.97,243,79,11.9,49,291.58,35,25.88,105.5
86,Lequeitio,Pozo,Temperatura baja,31.9,7.22,230,65,4.4,24.4,176.9,26,25.88,95.23
87,Lequeitio,Pozo,Temperatura baja,38.5,7.64,223,70,3.5,20.5,176.9,23,13.54,79.61
88,Ejido Casco El Lequeitio,Pozo,Temperatura baja,29.2,7.97,68,58,9.3,19.4,176.9,20,13.47,129.68
89,Jaral de Berrios ,Pozo,Temperatura baja,31.6,7.4,244,54,7.3,12.7,149.45,14,12.34,98.44
90,San Francisco,Pozo,Agua Fría,23.5,6.9,246,69,32.1,49,314.15,31,18.51,80.46
91,San Francisco,Pozo,Temperatura baja,25.8,6.97,143,80,37.8,48,325.13,37,18.51,82.18
92,Jaral de Berrios ,Pozo,Temperatura baja,29.9,7.12,246,48,10.8,19.9,190.32,12,12.34,118.98
93,Jaral de Berrios ,Pozo,Temperatura baja,29.2,7.18,234,55,11,25.2,201.91,17,18.51,107.21
94,San Bartolo de Berrios,Pozo,Temperatura baja,39,7.39,152,64,2.8,10,168.36,19,12.34,76.83
95,Ejido El Carreton,Pozo,Temperatura baja,31.6,7.37,91,60,8.2,12.6,164.7,18,9.93,108.93
96,Ejido El Carreton,Pozo,Temperatura baja,28.6,7.7,191,58,8.8,17.1,201.91,14,11.45,111.07
97,Ejido El Carreton,Pozo,Temperatura baja,26.9,7.17,198,46,12.3,28.6,224.48,13,12.05,103.36
98,Ejido El Carreton,Pozo,Temperatura baja,29.7,7.43,218,57,7.3,18.3,201.91,11,11.45,109.35
99,Ejido El Carreton,Pozo,Temperatura baja,31.3,7.42,167,50,11.9,32,224.48,21,12.66,115.35
100,Ejido El Carreton,Pozo,Temperatura baja,31.1,7.25,161,46,9.1,16.7,164.09,15,10.25,113.63
101,Jaral de Berrios ,Pozo,Temperatura baja,34.2,7.49,249,54,7.2,16.6,158.6,22,10.25,117.49
102,Jaral de Berrios ,Pozo,Temperatura media,41,7.31,243,68,3.9,15.3,201.91,15,8.44,78.54
103,Emiliano Zapata,Pozo,Temperatura baja,30.2,7.49,236,56,6.6,20.9,190.32,19,9.64,114.28
104,LaVentilla ,Pozo,Temperatura baja,26.8,7.47,182,65,10.3,37.6,235.46,23,12.66,109.35
105,LaVentilla ,Pozo,Temperatura baja,25.9,7.6,257,59,15.7,32.6,224.48,18,12.66,109.14
106,LaVentilla ,Pozo,Temperatura baja,25.7,7.78,252,63,15.2,34.5,235.46,35,12.66,101.22
107,LaVentilla ,Pozo,Temperatura baja,27.7,7.55,230,73,7.7,40,201.91,65,15.07,119.63
108,LaVentilla ,Pozo,Temperatura baja,26.1,7.68,244,51,11.9,38.1,201.91,23,14.46,112.99
109,LaVentilla ,Pozo,Temperatura baja,26.9,7.43,252,52,13,53.2,280.6,20,12.05,103.36
110,LaVentilla ,Pozo,Temperatura baja,27.7,7.05,253,68,11.3,42.6,269.01,22,13.86,134.39
111,LaVentilla ,Pozo,Agua Fría,24.7,6.97,250,52,16.6,51,246.44,30,18.68,93.3
112,Jaral de Berrios ,Pozo,Temperatura baja,30.9,7.08,200,59,16.8,19.9,235.46,7,15.07,111.28
113,Lequeitio,Pozo,Temperatura media,40,7.66,222,59,2.4,18.3,201.91,5,13.26,85.17
114,R. Pajaro Azul,Pozo,Temperatura media,40.4,7.28,215,59,2.5,18,201.91,4,12.05,73.94
115,El Rosario,Pozo,Temperatura baja,39.1,7.61,269,64,2.6,24.8,212.89,11,14.46,72.12
116,San Francisco,Pozo,Temperatura baja,25,7.4,222,122,9.5,65.5,370.27,122.5,18.08,107.86
117,Alberto Carreta Torres,Pozo,Temperatura baja,30.6,7.35,261,65,5.9,46.8,302.56,10,15.07,102.29
118,R. La Garrapata,Pozo,Temperatura baja,27.4,7.37,231,87,15.9,65.6,302.56,92.5,18.68,93.73
119,Sin Nombre,Pozo,Temperatura baja,28.2,7.88,244,75,8.3,39.2,269.01,31,16.88,105.5
120,Sin Nombre,Pozo,Temperatura baja,32.7,7.3,214,57,3.9,27.1,212.89,10,13.86,81.96
121,Sin Nombre,Pozo,Temperatura baja,28.9,7.54,266,68,12.3,28.7,269.01,16,11.45,93.3
122,Pardo,Noria,Agua Fría,21.6,6.14,244,18,9,3,29,10.28,109.8,49.86
123,Comunidad Los Rancheros,Noria,Agua Fría,21.3,7.76,184,22,24.2,9.7,10,12.34,280.6,75.11
124,Pardo,Noria,Temperatura baja,27,6.68,238,4,8.3,6.4,20,6.03,194.59,71.05
125,San Bartolo,Presa,Temperatura baja,28.3,7.41,240,6,6.6,1.8,8,1.81,41.48,28.25
126,Francisco,Presa,Temperatura baja,30.4,8.61,153,6,7.1,2.3,19,3.01,31.72,17.1
