Year,sst_mean_SON,sst_mean_OND,sst_mean_NDE,sst_mean_DJF,sst_mean_Jan,spi,pcp_SON,pcp_OND,pcp_NDE,pcp_DJF,pcp_Jan,hgt_SON,hgt_OND,hgt_NDE,hgt_DJF,hgt_Jan,olr_SON,olr_OND,olr_NDE,olr_DJF,olr_Jan,skt_SON,skt_OND,skt_NDE,skt_DJF,skt_Jan,swvl1_SON,swvl1_OND,swvl1_NDE,swvl1_DJF,swvl1_Jan
1995,25.82650666666667,25.699937000000002,25.67648166666667,25.72803433333333,25.660097,-1.2545724,56.068573,59.04273,48.760242,37.513832,6.1946573,4428.853,4409.6777,4398.3013,4389.6343,4383.129,265.87497,256.61862,253.50793,253.4601,267.41,294.2167,291.30936,288.5081,288.13388,285.9473,0.2531706,0.2401493,0.27726218,0.27461222,0.10405541
1996,26.26119733333333,26.133469333333334,26.047980666666664,26.039360666666667,25.868616,1.005256,85.833496,23.134216,30.671736,37.063766,18.19772,4422.404,4410.637,4392.9175,4381.1626,4370.516,256.53345,256.28616,251.78534,251.57935,250.12003,292.65604,290.30856,288.22842,288.0814,286.8392,0.43956804,0.27802762,0.19874501,0.20284808,0.061911456
1997,28.763716,28.814837666666666,28.770007000000003,28.60767,28.602076,-1.2993346,98.0318,58.73349,23.292608,19.55782,7.454013,4416.432,4388.9277,4370.745,4344.681,4355.5483,261.63895,257.66943,258.2464,260.48193,258.56744,292.52933,288.49756,287.39767,286.6547,287.6423,0.40302733,0.3713888,0.23304936,0.21076073,0.059831474
1998,25.420705666666667,25.142875,24.995046666666667,25.050955000000002,24.85046,-1.4380946,90.73946,37.450893,16.663527,15.3907585,5.078844,4423.933,4423.641,4407.394,4404.695,4388.2905,258.14697,264.76642,270.03748,265.4047,270.74124,293.577,291.66086,289.9182,289.45877,287.48758,0.48901248,0.33919832,0.19150987,0.17566091,0.056422193
1999,25.415451,25.15922,24.889815,24.899175666666668,24.68918,-1.2438197,46.46768,24.829676,16.559044,16.13464,5.5734053,4423.0747,4409.6113,4403.7188,4402.74,4407.613,271.17847,268.33517,266.44128,263.6161,267.87415,292.42126,289.51413,288.1787,288.69186,288.54962,0.33321857,0.21397015,0.18036969,0.1852125,0.06032244
2000,25.997556666666668,25.77168066666667,25.681620666666664,25.770336666666665,25.715738,0.283336,87.582054,74.27173,34.09843,37.050938,13.567914,4418.474,4408.0913,4392.4243,4395.364,4384.355,256.90955,253.78642,247.35466,245.82198,233.46626,293.4286,289.6687,288.02313,288.24658,287.42676,0.36609623,0.3790179,0.24808308,0.22639917,0.08125902
2001,26.40575966666667,26.251209666666668,26.207241,26.359949,26.312809,0.1131773,141.78496,41.65013,29.266323,40.380768,10.891133,4423.435,4408.4683,4393.135,4391.4688,4390.871,259.37503,254.83208,253.78166,248.51697,263.68884,292.18225,290.33493,288.44714,287.48166,287.05692,0.42576465,0.25299653,0.22175811,0.2728007,0.08021439
2002,27.790386333333334,27.901517333333334,27.778315333333335,27.54902633333333,27.398106,0.17482303,167.72208,104.54937,40.763668,37.317375,13.479911,4417.9634,4404.438,4398.868,4386.1597,4403.5806,250.85674,248.93579,244.50879,243.72176,241.04646,292.4766,289.70847,286.72522,287.53638,286.1889,0.5215813,0.39835584,0.35909837,0.2644042,0.09478243
2003,27.000907666666667,27.009908333333332,26.868092666666666,26.823674333333333,26.707964,0.73452985,143.61322,65.20419,23.128654,34.389008,11.50131,4430.5327,4416.7925,4399.6636,4379.568,4374.6772,251.80473,258.5831,249.72371,243.2741,226.52432,292.0652,289.2854,287.35153,286.69687,285.8267,0.66750926,0.4498016,0.30587986,0.24272785,0.10908837
2004,27.354395666666665,27.297365,27.217611666666667,27.06840733333333,27.1044,1.5590646,106.84399,35.181324,21.045664,65.85074,6.6828,4427.433,4416.8857,4408.7676,4399.0737,4409.6772,258.58496,254.27301,245.92352,235.3527,244.16653,292.9295,290.40735,288.85458,288.36398,289.01422,0.42102182,0.27278996,0.19390708,0.2593466,0.06269607
2005,26.46769066666667,26.193868,25.832804,25.758701000000002,25.542952,-0.8186822,76.647995,44.007854,26.402466,24.868744,9.033509,4434.223,4414.362,4406.717,4401.7207,4404.0,268.26447,261.1025,255.96901,255.28075,252.4391,293.3417,290.30286,288.081,288.4043,287.23907,0.37329757,0.33306313,0.25564536,0.23071387,0.061827525
2006,27.409585333333336,27.562712333333334,27.528752666666666,27.239835666666664,27.258278,0.41688895,133.98605,54.6941,47.531597,55.35276,18.0095,4428.2583,4412.7485,4399.6733,4390.474,4390.5483,253.02693,255.82886,250.33089,244.84807,234.1277,291.97647,289.06793,287.3925,287.1757,287.07373,0.60377926,0.4461099,0.29276127,0.32361835,0.09593321
2007,25.524281666666667,25.378540666666666,25.178535666666665,25.124726,24.872309,-0.9027779,85.91504,32.332077,25.63157,20.734732,6.3465085,4430.89,4419.0957,4408.4185,4399.8423,4391.839,265.87634,265.82986,256.14005,256.33646,248.77505,293.68936,291.44876,289.22144,289.21506,287.82172,0.32536322,0.22117579,0.20542687,0.17936072,0.06043691
2008,26.450397999999996,26.212929333333335,25.93989566666667,25.82777333333333,25.677258,-0.808766,139.2269,55.650394,23.248417,21.235088,11.604365,4425.4272,4418.146,4406.9634,4408.834,4404.0,258.51236,262.25464,260.15878,260.26077,256.20807,291.68164,290.05508,289.05142,289.33615,289.09207,0.51744604,0.26246804,0.18905699,0.18218741,0.06034253
2009,27.762361,28.052030666666667,28.199729333333334,28.086933333333334,28.0686,1.1737078,161.60753,74.894424,56.16841,91.553345,12.52112,4420.7485,4395.97,4375.1206,4351.2573,4359.0967,252.48378,252.53546,247.85449,239.56364,240.94476,292.78775,289.64883,286.62595,284.96005,284.7438,0.47302008,0.4341231,0.41183662,0.53742266,0.12208016
2010,25.307688333333335,25.312512666666667,25.221883666666667,25.278220333333334,24.999723,-0.92009634,78.94706,19.620834,18.597893,18.914217,10.258831,4424.656,4410.4595,4388.481,4384.963,4371.0645,271.43613,277.92783,269.22806,267.4313,257.80316,293.5883,290.51694,288.2529,288.39655,287.7256,0.2761789,0.18039097,0.17679566,0.17857815,0.06380264
2011,25.916648999999996,25.77163566666667,25.701097333333333,25.822408666666664,25.765425,1.6693434,82.13272,39.64022,27.562462,70.96366,12.359094,4429.166,4416.0522,4405.547,4395.718,4396.5483,273.61557,268.9799,257.63266,237.88733,243.94255,294.1117,291.38467,289.15207,288.22928,288.1815,0.21317002,0.19362368,0.18991633,0.31175652,0.059003767
2012,27.15634233333333,26.801688,26.442010666666665,26.073085000000003,25.984468,1.018408,63.97269,40.130596,63.57917,56.97814,43.996353,4432.227,4417.175,4403.218,4388.9146,4389.7095,262.3702,257.8466,244.33722,245.08412,234.79855,294.69687,292.26074,288.69763,288.44116,285.57568,0.23552902,0.19210868,0.33880734,0.34550917,0.21214752
2013,26.650504,26.529748666666666,26.342233000000004,26.044727333333338,25.972643,0.12253388,299.8429,105.723145,81.85602,64.96012,11.405878,4425.406,4416.4595,4399.911,4394.726,4382.839,249.43806,249.57037,245.47803,252.15039,249.53146,292.26443,290.04077,286.72607,286.95218,283.34418,0.5496434,0.4055487,0.4901089,0.4502927,0.24269626
2014,27.22417833333333,27.288522666666665,27.240959,27.207859,26.996586,0.92289585,173.58899,64.60764,49.255024,36.96423,18.973392,4426.9175,4413.1816,4404.4883,4399.588,4406.8306,255.6723,256.5148,239.76979,238.33191,224.92139,291.2327,289.1694,287.36618,287.9772,287.5551,0.69320405,0.49428007,0.4000978,0.3144946,0.0894965
2015,29.030094333333334,29.194968666666668,29.214713333333332,29.016521333333333,29.039356,0.041259278,132.87315,93.499176,37.364418,30.092937,13.63807,4433.4062,4419.1562,4395.358,4388.0396,4362.2744,256.73965,248.3217,249.29553,251.31708,252.49129,293.26273,290.52277,287.53006,286.9197,284.34515,0.49164766,0.42204776,0.35819206,0.26801252,0.108785205
2016,26.091874666666666,26.085781333333333,26.165126333333333,26.390895,26.202667,0.12294288,138.5135,106.73804,57.830883,20.219543,5.659281,4442.6265,4431.0405,4415.5703,4408.291,4399.734,257.80832,258.86926,254.2819,264.55753,256.3274,293.64706,291.33377,289.26602,289.9662,288.74478,0.38275325,0.33280286,0.29646236,0.19764209,0.06500151
2017,26.154621000000002,25.90298866666667,25.72358966666667,25.778192,25.766521,0.2339992,115.517044,83.466,37.998436,46.199078,19.30886,4438.078,4428.785,4417.191,4413.182,4402.411,265.5846,260.29886,252.91508,238.9232,243.2015,294.2126,291.12125,288.65787,288.57083,286.44962,0.32850313,0.28740317,0.23292682,0.24784714,0.07552125
2018,27.419763,27.57394533333333,27.437085999999997,27.35284833333333,27.17855,-0.37463936,163.95245,58.247074,33.104412,23.996845,11.241612,4426.9946,4410.821,4399.7915,4400.2812,4399.9033,242.73705,246.76526,244.28131,249.26392,246.98543,291.92197,289.09436,287.73563,289.25806,288.52478,0.6565491,0.4526344,0.27972847,0.21085706,0.06469603
2019,27.042877333333337,27.149673333333336,27.078046333333333,27.010766666666665,27.019789,-0.34868836,130.25488,65.6576,30.74922,27.402102,10.580258,4438.534,4424.185,4412.8677,4403.7466,4399.234,257.16324,257.48187,246.3777,243.40999,232.3452,293.94858,291.37357,288.5354,288.10062,286.26672,0.4251414,0.33399066,0.31945932,0.30058277,0.1186667
2020,25.68663666666667,25.530141,25.541245,25.636336,25.568077,-1.5704246,78.762085,17.519285,17.758389,16.381674,6.541603,4446.1436,4428.203,4411.8647,4394.919,4396.3145,274.64963,273.3904,263.26596,259.63748,253.7553,294.52762,291.81223,289.2472,288.8595,287.6196,0.25583962,0.17297237,0.18369026,0.19332081,0.068863094
2021,26.069157333333333,25.764591333333332,25.680856666666667,25.702881666666666,25.651445,-1.1892289,103.296646,47.37491,20.36465,20.55887,4.765474,4441.0835,4434.038,4419.199,4407.567,4398.4756,257.32297,262.43076,259.37247,259.55725,251.13129,294.24353,292.15793,289.97498,289.15945,288.287,0.2927651,0.22722149,0.20100597,0.22143546,0.06814257
2022,25.811131666666668,25.79931566666667,25.77985,25.91121366666667,25.804783,-1.6640304,126.98306,49.424515,25.52521,19.65745,3.0804107,4432.7397,4421.931,4410.9443,4408.395,4400.218,260.6649,264.04782,265.353,264.63486,264.30817,292.69315,290.9989,289.95132,289.89133,289.1308,0.409308,0.2623801,0.18054374,0.17094322,0.055653535
2023,28.422375333333335,28.52376666666667,28.518002,28.36992766666667,28.296015,0.38891754,93.688034,93.07286,56.81271,50.970448,10.999977,4443.086,4420.445,4404.595,4396.8867,4388.9595,262.76218,241.93336,233.50421,233.96797,228.18001,294.2301,289.7772,287.6838,287.70084,287.52286,0.35796043,0.43888086,0.4009361,0.35021842,0.08191513
